Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Garland,10861,Valid,Diogenite-pm,102.0,,41.68333,-112.13333,"[-112, 41]"
Gashua,44882,Valid,L6,4162.0,,12.85,11.03333,"[11, 12]"
Gasseltepaoua,10866,Valid,H5,,,14.15083,-2.04167,"[-2, 14]"
Geidam,10870,Valid,H5,725.0,,12.91667,11.91667,"[11, 12]"
Gifu,10914,Valid,L6,14290.0,,35.53333,136.88333,"[136, 35]"
Girgenti,10917,Valid,L6,18000.0,,37.31667,13.56667,"[13, 37]"
Git-Git,10919,Valid,L6,480.0,,9.6,9.91667,"[9, 9]"
Glanerbrug,10923,Valid,L/LL5,670.0,,52.2,6.86667,"[6, 52]"
Glanggang,10924,Valid,H5-6,1303.0,,-7.25,107.7,"[107, -7]"
Glasatovo,10926,Valid,H4,152000.0,,57.35,37.61667,"[37, 57]"
Glatton,10930,Valid,L6,767.0,,52.45972,-0.3,"[0, 52]"
Gnadenfrei,10936,Valid,H5,1750.0,,50.66667,16.76667,"[16, 50]"
Gopalpur,10948,Valid,H6,1600.0,,24.23333,89.05,"[89, 24]"
Gorlovka,10949,Valid,H3.7,3618.0,,48.28333,38.08333,"[38, 48]"
Granes,10956,Valid,L6,9000.0,,42.9,2.25,"[2, 42]"
Grefsheim,11196,Valid,L5,45.5,,60.66667,11.0,"[11, 60]"
Grimsby,50911,Valid,H5,215.0,,43.2,-79.61667,"[-79, 43]"
Grosnaja,11206,Valid,CV3,3500.0,,43.66667,45.38333,"[45, 43]"
Gross-Divina,11207,Valid,H5,10500.0,,49.26667,18.71667,"[18, 49]"
Grossliebenthal,11208,Valid,L6,8000.0,,46.35,30.58333,"[30, 46]"
Grüneberg,11426,Valid,H4,1000.0,,51.93333,15.5,"[15, 51]"
Grzempach,11429,Valid,H5,690.0,,52.86667,16.63333,"[16, 52]"
Gualeguaychú,11432,Valid,H6,22000.0,,-33.0,-58.61667,"[-58, -33]"
Guangmingshan,11435,Valid,H5,2910.0,,39.80417,122.76389,"[122, 39]"
Guangnan,11436,Valid,L6,,,24.1,105.0,"[105, 24]"
Guangrao,11437,Valid,L6,1900.0,,37.1,118.4,"[118, 37]"
Guareña,11439,Valid,H6,39000.0,,38.73333,-6.01667,"[-6, 38]"
Guêa,11440,Valid,Stone-uncl,1915.0,,43.76667,20.23333,"[20, 43]"
Guibga,11442,Valid,L5,288.0,,13.5,-0.68333,"[0, 13]"
Guidder,11443,Valid,LL5,968.0,,9.91667,13.98333,"[13, 9]"
Gujargaon,11448,Valid,H5,2449.0,,22.98333,76.05,"[76, 22]"
Gujba,11449,Valid,CBa,100000.0,,11.49167,11.65833,"[11, 11]"
Gumoschnik,11450,Valid,H5,5700.0,,42.9,24.7,"[24, 42]"
Gurram Konda,11464,Valid,L6,28.0,,13.78333,78.56667,"[78, 13]"
Gursum,11465,Valid,H4/5,34650.0,,9.36667,42.41667,"[42, 9]"
Gütersloh,11466,Valid,H3/4,1000.0,,51.91667,8.38333,"[8, 51]"
Gyokukei,11467,Valid,OC,1320.0,,35.0,127.5,"[127, 35]"
Hachi-oji,11468,Valid,H?,0.2,,35.65,139.33333,"[139, 35]"
Hainaut,11472,Valid,H3-6,9000.0,,50.31667,3.73333,"[3, 50]"
Hallingeberg,11479,Valid,L3.4,1456.0,,57.81667,16.23333,"[16, 57]"
Hamlet,11485,Valid,LL4,3710.0,,41.38333,-86.6,"[-86, 41]"
Haraiya,11824,Valid,Eucrite-mmict,1000.0,,26.8,82.53333,"[82, 26]"
Haripura,11829,Valid,CM2,315.0,,28.38333,75.78333,"[75, 28]"
Harleton,11830,Valid,L6,8360.0,,32.675,-94.51167,"[-94, 32]"
Harrison County,11842,Valid,L6,680.0,,38.25,-86.16667,"[-86, 38]"
Hashima,11848,Valid,H4,1110.6,,35.2945,136.70033,"[136, 35]"
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",1250.0,,28.95,0.81667,"[0, 28]"
Hatford,11855,Valid,Stone-uncl,29000.0,,51.65,-1.51667,"[-1, 51]"
Haverö,11859,Valid,Ureilite,1544.0,,60.24556,22.06194,"[22, 60]"
Hedeskoga,11869,Valid,H5,3500.0,,55.46667,13.78333,"[13, 55]"
Hedjaz,11870,Valid,L3.7-6,6100.0,,27.33333,35.66667,"[35, 27]"
Heredia,11875,Valid,H5,1000.0,,10.0,-84.1,"[-84, 10]"
Hessle,11878,Valid,H5,20000.0,,59.85,17.66667,"[17, 59]"
Higashi-koen,11883,Valid,H5,750.0,,33.6,130.43333,"[130, 33]"
High Possil,11884,Valid,L6,4500.0,,55.9,-4.23333,"[-4, 55]"
Hiroshima,11889,Valid,H5,414.0,,34.45,132.38333,"[132, 34]"
Hoima,44714,Valid,H6,167.7,,1.345,31.47278,"[31, 1]"
Hökmark,11893,Valid,L4,305.5,,64.43333,21.2,"[21, 64]"
Holbrook,11894,Valid,L/LL6,220000.0,,34.9,-110.18333,"[-110, 34]"
Holetta,11895,Valid,Stone-uncl,1415.0,,9.06667,38.41667,"[38, 9]"
Homestead,11901,Valid,L5,230000.0,,41.8,-91.86667,"[-91, 41]"
Honolulu,11904,Valid,L5,2420.0,,21.3,-157.86667,"[-157, 21]"
Hotse,11913,Valid,L6,180.0,,35.66667,115.5,"[115, 35]"
Hoxie,11915,Valid,OC,266.1,,39.35,-100.45,"[-100, 39]"
Hraschina,11916,Valid,"Iron, IID",49000.0,,46.1,16.33333,"[16, 46]"
Huaxi,54719,Valid,H5,1600.0,,26.46469,106.63241,"[106, 26]"
Hungen,11986,Valid,H6,112.0,,50.3,8.91667,"[8, 50]"
Hvittis,11989,Valid,EL6,14000.0,,61.18333,22.68333,"[22, 61]"
Ibbenbüren,11992,Valid,Diogenite,2000.0,,52.28333,7.7,"[7, 52]"
Ibitira,11993,Valid,Eucrite-mmict,2500.0,,-20.0,-45.0,"[-45, -20]"
Ibrisim,11994,Valid,OC,,,38.0,35.0,"[35, 38]"
Ichkala,11995,Valid,H6,3973.0,,58.2,82.93333,"[82, 58]"
Idutywa,12000,Valid,H5,3457.0,,-32.1,28.33333,"[28, -32]"
Iguaracu,12003,Valid,H5,1200.0,,-23.2,-51.83333,"[-51, -23]"
Ijopega,12004,Valid,H6,7330.0,,-6.03333,145.36667,"[145, -6]"
Indarch,12027,Valid,EH4,27000.0,,39.75,46.66667,"[46, 39]"
Independence,12028,Valid,L6,880.0,,39.08333,-94.4,"[-94, 39]"
Inner Mongolia,12037,Valid,L6,3000.0,,41.0,112.0,"[112, 41]"
Innisfree,12039,Valid,L5,4576.0,,53.415,-111.3375,"[-111, 53]"
Ipiranga,12043,Valid,H6,7000.0,,-25.5,-54.5,"[-54, -25]"
Ishinga,12049,Valid,H,1300.0,,-8.93333,33.8,"[33, -8]"
Isthilart,12053,Valid,H5,3050.0,,-31.18333,-57.95,"[-57, -31]"
Itapicuru-Mirim,12056,Valid,H5,2024.0,,-3.4,-44.33333,"[-44, -3]"
Itqiy,12058,Valid,EH7-an,4720.0,,26.59083,-12.95217,"[-12, 26]"
Ivuna,12063,Valid,CI1,704.5,,-8.41667,32.43333,"[32, -8]"
Jackalsfontein,12065,Valid,L6,48000.0,,-32.5,21.9,"[21, -32]"
Jajh deh Kot Lalu,12067,Valid,EL6,973.0,,26.75,68.41667,"[68, 26]"
Jalanash,12068,Valid,Ureilite,700.0,,,,
Jalandhar,12069,Valid,Iron,1967.0,,31.0,75.0,"[75, 31]"
Jamkheir,12072,Valid,H6,22.0,,18.75,75.33333,"[75, 18]"
Jartai,12074,Valid,L6,20500.0,,39.7,105.8,"[105, 39]"
Jelica,12078,Valid,LL6,34000.0,,43.83333,20.44167,"[20, 43]"
Jemlapur,12079,Valid,L6,450.0,,,,
Jesenice,51589,Valid,L6,3667.0,,46.42137,14.05217,"[14, 46]"
Jhung,12085,Valid,L5,5900.0,,31.3,72.38333,"[72, 31]"
Jiange,12086,Valid,H5,222.0,,31.91667,104.91667,"[104, 31]"
Jianshi,12087,Valid,"Iron, IIIAB",600000.0,,30.80833,109.5,"[109, 30]"
Jilin,12171,Valid,H5,4000000.0,,44.05,126.16667,"[126, 44]"
Jodiya,47362,Valid,L5,100.0,,22.68,70.31333,"[70, 22]"
Jodzie,12173,Valid,Howardite,30.0,,55.7,24.4,"[24, 55]"
Johnstown,12198,Valid,Diogenite,40300.0,,40.35,-104.9,"[-104, 40]"
Jolomba,12199,Valid,LL6,483.0,,-11.85,15.83333,"[15, -11]"
Jonzac,12202,Valid,Eucrite-mmict,5000.0,,45.43333,-0.45,"[0, 45]"
Juancheng,12203,Valid,H5,100000.0,,35.5,115.41667,"[115, 35]"
Judesegeri,12207,Valid,H6,680.0,,12.85,76.8,"[76, 12]"
Jumapalo,12209,Valid,L6,32490.0,,-7.71667,111.2,"[111, -7]"
Junan,12210,Valid,L6,950.0,,35.2,118.8,"[118, 35]"
Juromenha,12213,Valid,"Iron, IIIAB",25250.0,,38.74028,-7.27,"[-7, 38]"
Juvinas,12214,Valid,Eucrite-mmict,91000.0,,44.71667,4.3,"[4, 44]"
Kaba,12218,Valid,CV3,3000.0,,47.35,21.3,"[21, 47]"
Kabo,12220,Valid,H4,13400.0,,11.85,8.21667,"[8, 11]"
Kadonah,12221,Valid,H6,89.0,,27.08333,78.33333,"[78, 27]"
Kaee,12222,Valid,H5,230.0,,27.25,79.96667,"[79, 27]"
Kagarlyk,12227,Valid,L6,1900.0,,49.86667,30.83333,"[30, 49]"
Kaidun,12228,Valid,CR2,2000.0,,15.0,48.3,"[48, 15]"
Kainsaz,12229,Valid,CO3.2,200000.0,,55.43333,53.25,"[53, 55]"
Kakangari,12230,Valid,K3,350.0,,12.38333,78.51667,"[78, 12]"
Kakowa,12231,Valid,L6,577.0,,45.13333,21.66667,"[21, 45]"
Kalaba,12232,Valid,H4,950.0,,-6.83333,29.5,"[29, -6]"
Kalumbi,12236,Valid,L6,4500.0,,17.83333,73.98333,"[73, 17]"
Kamalpur,12238,Valid,L6,2770.0,,26.03333,81.46667,"[81, 26]"
Kamiomi,12240,Valid,H5,448.0,,36.04167,139.95667,"[139, 36]"
Kamsagar,12241,Valid,L6,1293.0,,14.18333,75.8,"[75, 14]"
Kandahar (Afghanistan),12243,Valid,L6,299.0,,31.6,65.78333,"[65, 31]"
Kangean,12245,Valid,H5,1630.0,,-7.0,115.5,"[115, -7]"
Kangra Valley,12246,Valid,H5,400.0,,32.08333,76.3,"[76, 32]"
Kapoeta,12251,Valid,Howardite,11355.0,,4.7,33.63333,"[33, 4]"
Kaprada,47357,Valid,L5/6,1600.0,,20.33916,73.22329,"[73, 20]"
Kaptal-Aryk,12253,Valid,L6,3500.0,,42.45,73.36667,"[73, 42]"
Karakol,12256,Valid,LL6,3000.0,,47.21667,81.01667,"[81, 47]"
Karatu,12258,Valid,LL6,2220.0,,-3.5,35.58333,"[35, -3]"
Karewar,12260,Valid,L6,180.0,,12.9,7.15,"[7, 12]"
Karkh,12262,Valid,L6,22000.0,,27.8,67.16667,"[67, 27]"
Karloowala,12263,Valid,L6,2950.0,,31.58333,71.6,"[71, 31]"
Karoonda,12264,Valid,CK4,41730.0,,-35.08333,139.91667,"[139, -35]"
Kasamatsu,12266,Valid,H,710.0,,35.36667,136.76667,"[136, 35]"
Kasauli,30740,Valid,H4,16820.0,,29.58333,77.58333,"[77, 29]"
Katagum,35465,Valid,L6,1500.0,,11.33333,10.08333,"[10, 11]"
Kavarpura,47351,Valid,"Iron, IIE-an",6800.0,,25.14333,75.81333,"[75, 25]"
Kayakent,12268,Valid,"Iron, IIIAB",85000.0,,39.26333,31.78,"[31, 39]"
Kediri,12270,Valid,L4,3300.0,,-7.75,112.01667,"[112, -7]"
Kemer,53654,Valid,L4,5760.0,,36.54194,29.41822,"[29, 36]"
Kendleton,12275,Valid,L4,6937.0,,29.45,-96.0,"[-96, 29]"
Kendrapara,12276,Valid,H4-5,6669.2,,20.4625,86.70278,"[86, 20]"
Kerilis,12282,Valid,H5,5000.0,,48.4,-3.3,"[-3, 48]"
Kernouve,12284,Valid,H6,80000.0,,48.11667,-3.08333,"[-3, 48]"
Kesen,12286,Valid,H4,135000.0,,38.98333,141.61667,"[141, 38]"
Khairpur,12288,Valid,EL6,13600.0,,29.53333,72.3,"[72, 29]"
Khanpur,12289,Valid,LL5,3698.0,,25.55,83.11667,"[83, 25]"
Kharkov,12291,Valid,L6,1500.0,,50.625,35.075,"[35, 50]"
Kheragur,12294,Valid,L6,450.0,,26.95,77.88333,"[77, 26]"
Khetri,12296,Valid,H6,100.0,,28.01667,75.81667,"[75, 28]"
Khmelevka,12297,Valid,L5,6109.0,,56.75,75.33333,"[75, 56]"
Khohar,12298,Valid,L3.6,9700.0,,25.1,81.53333,"[81, 25]"
Khor Temiki,12299,Valid,Aubrite,3200.0,,16.0,36.0,"[36, 16]"
Kidairat,12300,Valid,H6,100000.0,,14.0,28.0,"[28, 14]"
Kiel,12301,Valid,L6,737.6,,54.4,10.15,"[10, 54]"
Kiffa,12303,Valid,H5,1500.0,,16.58333,-11.33333,"[-11, 16]"
Kijima (1906),12305,Valid,Stone-uncl,331.0,,36.85,138.38333,"[138, 36]"
Kikino,12306,Valid,H6,195.0,,55.0,34.0,"[34, 55]"
Kilabo,12307,Valid,LL6,19000.0,,12.76667,9.8,"[9, 12]"
Kilbourn,12308,Valid,H5,772.0,,43.58333,-89.6,"[-89, 43]"
Killeter,12309,Valid,H6,140.0,,54.66667,-7.66667,"[-7, 54]"
Kingai,12316,Valid,H6,67.4,,11.63333,24.68333,"[24, 11]"
Kirbyville,12321,Valid,Eucrite-mmict,97.7,,30.75,-95.95,"[-95, 30]"
Kisvarsány,12325,Valid,L6,1550.0,,48.16667,22.30833,"[22, 48]"
Kitchener,12326,Valid,L6,202.6,,43.38333,-80.38333,"[-80, 43]"
Klein-Wenden,12332,Valid,H6,3250.0,,51.6,10.8,"[10, 51]"
Knyahinya,12335,Valid,L/LL5,500000.0,,48.9,22.4,"[22, 48]"
Kobe,12336,Valid,CK4,136.0,,34.73333,135.16667,"[135, 34]"
Kokubunji,12342,Valid,L6,11510.0,,34.3,133.95,"[133, 34]"
Komagome,12343,Valid,Iron,238.0,,35.73333,139.75,"[139, 35]"
Konovo,12344,Valid,LL5,90.0,,42.51667,26.16667,"[26, 42]"
Košice,53810,Valid,H5,4300.0,,48.76367,21.17633,"[21, 48]"
Krähenberg,12353,Valid,LL5,16500.0,,49.32694,7.46472,"[7, 49]"
Krasnoi-Ugol,12355,Valid,L6,2440.0,,54.03333,40.9,"[40, 54]"
Krasnyi Klyuch,12357,Valid,H5,4000.0,,54.33333,56.08333,"[56, 54]"
Krutikha,12363,Valid,OC,845.2,,56.8,77.0,"[77, 56]"
Krymka,12364,Valid,LL3.2,50000.0,,47.83333,30.76667,"[30, 47]"
Kukschin,12368,Valid,L6,2250.0,,51.15,31.7,"[31, 51]"
Kulak,12369,Valid,L5,453.6,,30.73111,66.80222,"[66, 30]"
Kuleschovka,12370,Valid,L6,6000.0,,50.75,33.5,"[33, 50]"
Kulp,12373,Valid,H6,3719.0,,41.11667,45.0,"[45, 41]"
Kunashak,12377,Valid,L6,200000.0,,55.78333,61.36667,"[61, 55]"
Kunya-Urgench,12379,Valid,H5,1100000.0,,42.25,59.2,"[59, 42]"
Kushiike,12381,Valid,OC,4460.0,,37.05,138.38333,"[138, 37]"
Kusiali,12382,Valid,L6,5.0,,29.68333,78.38333,"[78, 29]"
Kutais,12383,Valid,H5,23.0,,44.51667,39.3,"[39, 44]"
Kuttippuram,12384,Valid,L6,45000.0,,10.83333,76.03333,"[76, 10]"
Kuznetzovo,12385,Valid,L6,4047.0,,55.2,75.33333,"[75, 55]"
Kyushu,12390,Valid,L6,45000.0,,32.03333,130.63333,"[130, 32]"
La Bécasse,12392,Valid,L6,2800.0,,47.08333,1.75,"[1, 47]"
La Charca,12394,Valid,OC,399.0,,20.66667,-101.28333,"[-101, 20]"
La Colina,12395,Valid,H5,2000.0,,-37.33333,-61.53333,"[-61, -37]"
La Criolla,12396,Valid,L6,45000.0,,-31.23333,-58.16667,"[-58, -31]"
Laborel,12408,Valid,H5,3833.0,,44.28333,5.58333,"[5, 44]"
Lahrauli,12433,Valid,Ureilite,900.0,,26.78333,82.71667,"[82, 26]"
L'Aigle,12434,Valid,L6,37000.0,,48.76667,0.63333,"[0, 48]"
Cumulus Hills 04075,32531,Valid,Pallasite,9.6,,,,
Lakangaon,12435,Valid,Eucrite-mmict,212.5,,21.86667,76.03333,"[76, 21]"
Lalitpur,12451,Valid,L6,372.0,,24.45,78.56667,"[78, 24]"
Lancé,12455,Valid,CO3.5,51700.0,,47.7,1.06667,"[1, 47]"
Lancon,12456,Valid,H6,7000.0,,43.75,5.11667,"[5, 43]"
Långhalsen,12461,Valid,L6,2300.0,,58.85,16.73333,"[16, 58]"
Lanxi,12464,Valid,L6,1282.0,,46.24167,126.19611,"[126, 46]"
Lanzenkirchen,12465,Valid,L4,7000.0,,47.75,16.23333,"[16, 47]"
Laochenzhen,12466,Valid,H5,14250.0,,33.13333,115.16667,"[115, 33]"
Launton,12740,Valid,L6,1060.0,,51.9,-1.11667,"[-1, 51]"
Lavrentievka,12743,Valid,L6,800.0,,52.45,51.56667,"[51, 52]"
Le Pressoir,12748,Valid,H5,3000.0,,47.16667,0.43333,"[0, 47]"
Le Teilleul,12749,Valid,Howardite,780.0,,48.53333,-0.86667,"[0, 48]"
Leedey,12755,Valid,L6,51500.0,,35.88333,-99.33333,"[-99, 35]"
Leeuwfontein,12756,Valid,L6,460.0,,-25.66667,28.36667,"[28, -25]"
Leighlinbridge,12759,Valid,L6,271.4,,52.66667,-6.96667,"[-6, 52]"
Leighton,12760,Valid,H5,877.0,,34.58333,-87.5,"[-87, 34]"
Leonovka,12765,Valid,L6,700.0,,52.26667,32.85,"[32, 52]"
Les Ormes,12769,Valid,L6,125.0,,48.35,3.25,"[3, 48]"
Lesves,12772,Valid,L6,2000.0,,50.36667,4.73333,"[4, 50]"
Lichtenberg,14646,Valid,H6,4000.0,,-26.15,26.18333,"[26, -26]"
Lillaverke,14650,Valid,H5,6862.0,,56.65,15.86667,"[15, 56]"
Limerick,14652,Valid,H5,50000.0,,52.56667,-8.78333,"[-8, 52]"
Linum,14655,Valid,L6,1862.0,,52.75,12.9,"[12, 52]"
Lishui,14659,Valid,L5,498.0,,31.63333,118.98333,"[118, 31]"
Lissa,14661,Valid,L6,12800.0,,50.2,14.85,"[14, 50]"
Little Piney,14664,Valid,L5,491.0,,37.91667,-92.08333,"[-92, 37]"
Lixna,14670,Valid,H4,5213.0,,56.0,26.43333,"[26, 56]"
Lodran,14675,Valid,Lodranite,1000.0,,29.53333,71.8,"[71, 29]"
Lohawat,14678,Valid,Howardite,40000.0,,26.96556,72.62667,"[72, 26]"
Lorton,52843,Valid,L6,329.7,,38.70066,-77.21163,"[-77, 38]"
Los Martinez,14708,Valid,L6,25.0,,38.0,-0.83333,"[0, 38]"
Lost City,14711,Valid,H5,17000.0,,36.00833,-95.15,"[-95, 36]"
Louisville,14716,Valid,L6,1300.0,,38.25,-85.75,"[-85, 38]"
Łowicz,14718,Valid,Mesosiderite-A3,59000.0,,52.0,19.91667,"[19, 52]"
Lua,14721,Valid,L5,9241.0,,24.95,75.15,"[75, 24]"
Lucé,14724,Valid,L6,3500.0,,47.85,0.48333,"[0, 47]"
Lumpkin,14753,Valid,L6,340.0,,32.03333,-84.76667,"[-84, 32]"
Lunan,14754,Valid,H6,2520.0,,24.8,103.3,"[103, 24]"
Lundsgård,14755,Valid,L6,11000.0,,56.21667,13.03333,"[13, 56]"
Luotolax,14756,Valid,Howardite,885.0,,61.2,27.7,"[27, 61]"
Luponnas,14757,Valid,H3-5,14000.0,,46.21667,5.0,"[5, 46]"
Lusaka,14759,Valid,Unknown,,,-7.21667,29.43333,"[29, -7]"
Mabwe-Khoywa,14764,Valid,L5,540.0,,19.0,97.0,"[97, 19]"
Macau,15370,Valid,H5,1500.0,,-5.2,-36.66667,"[-36, -5]"
Machinga,15371,Valid,L6,93200.0,,-15.21222,35.24222,"[35, -15]"
Macibini,15372,Valid,Eucrite-pmict,1995.0,,-28.83333,31.95,"[31, -28]"
Madhipura,15379,Valid,L,1000.0,,25.91667,86.36667,"[86, 25]"
Madiun,15380,Valid,L6,400.0,,-7.75,111.53333,"[111, -7]"
Madrid,15382,Valid,L6,400.0,,40.41667,-3.71667,"[-3, 40]"
Mafra,15383,Valid,L3-4,600.0,,-26.16667,-49.93333,"[-49, -26]"
Magnesia,15386,Valid,"Iron, IAB-sHL",5000.0,,37.86667,27.51667,"[27, 37]"
Magombedze,15387,Valid,H3-5,666.6,,-19.48333,31.65,"[31, -19]"
Mahadevpur,47361,Valid,H4/5,70500.0,,27.66667,95.78333,"[95, 27]"
Maigatari-Danduma,30751,Valid,H5/6,4629.0,,12.83333,9.38333,"[9, 12]"
Malaga,15393,Valid,OC,150.0,,32.21667,-104.0,"[-104, 32]"
Malakal,15394,Valid,L5,2000.0,,9.5,31.75,"[31, 9]"
Malampaka,15395,Valid,H,470.0,,-3.13333,33.51667,"[33, -3]"
Malotas,15397,Valid,H5,,,-28.93333,-63.23333,"[-63, -28]"
Malvern,15400,Valid,Eucrite-pmict,807.0,,-29.45,26.76667,"[26, -29]"
Mamra Springs,15401,Valid,L6,1000.0,,45.21667,62.08333,"[62, 45]"
Manbhoom,15402,Valid,LL6,1700.0,,23.05,86.7,"[86, 23]"
Manegaon,15403,Valid,Diogenite,50.0,,20.96667,76.1,"[76, 20]"
Mangwendi,15405,Valid,LL6,22300.0,,-17.65,31.6,"[31, -17]"
Manych,15409,Valid,LL3.4,3555.0,,45.81667,44.63333,"[44, 45]"
Mardan,15414,Valid,H5,4500.0,,34.23333,72.08333,"[72, 34]"
Maria Linden,15418,Valid,L4,114.0,,,,
Mariaville,15419,Valid,Iron,340.0,,42.71667,-99.38333,"[-99, 42]"
Maribo,48973,Valid,CM2,25.81,,54.76183,11.46745,"[11, 54]"
Maridi,15421,Valid,H6,3200.0,,4.66667,29.25,"[29, 4]"
Marilia,15422,Valid,H4,2500.0,,-22.25,-49.93333,"[-49, -22]"
Marion (Iowa),15424,Valid,L6,28400.0,,41.9,-91.6,"[-91, 41]"
Marjalahti,15426,Valid,"Pallasite, PMG",45000.0,,61.5,30.5,"[30, 61]"
Marmande,15429,Valid,L5,3000.0,,44.5,0.15,"[0, 44]"
Maromandia,15430,Valid,L6,6000.0,,-14.2,48.1,"[48, -14]"
Maryville,15436,Valid,L6,1443.0,,35.8,-84.1,"[-84, 35]"
Mascombes,15438,Valid,L6,1000.0,,45.36667,1.86667,"[1, 45]"
Mason Gully,53653,Valid,H5,24.54,,0.0,0.0,"[0, 0]"
Mässing,15443,Valid,Howardite,1600.0,,48.13333,12.61667,"[12, 48]"
Mauerkirchen,15446,Valid,L6,19000.0,,48.18333,13.13333,"[13, 48]"
Mauritius,15447,Valid,L6,220.0,,-20.0,57.0,"[57, -20]"
Mayo Belwa,15451,Valid,Aubrite,4850.0,,8.96667,12.08333,"[12, 8]"
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,,24.68333,-101.68333,"[-101, 24]"
Maziba,15454,Valid,L6,4975.0,,-1.21667,30.0,"[30, -1]"
Mbale,15455,Valid,L5/6,150000.0,,1.06667,34.16667,"[34, 1]"
Medanitos,15467,Valid,Eucrite-cm,31.0,,-27.25,-67.5,"[-67, -27]"
Meerut,15469,Valid,H5,22.0,,29.01667,77.8,"[77, 29]"
Meester-Cornelis,15470,Valid,H5,24750.0,,-6.23333,106.88333,"[106, -6]"
Menow,15485,Valid,H4,10500.0,,53.18333,13.15,"[13, 53]"
Menziswyl,15486,Valid,L5,28.9,,46.81867,7.21817,"[7, 46]"
Mern,15489,Valid,L6,4000.0,,55.05,12.06667,"[12, 55]"
Meru,15491,Valid,LL6,6000.0,,0.0,37.66667,"[37, 0]"
Merua,15492,Valid,H5,71400.0,,25.48333,81.98333,"[81, 25]"
Messina,15495,Valid,L5,2405.0,,38.18333,15.56667,"[15, 38]"
Meuselbach,16626,Valid,L6,870.0,,50.58333,11.1,"[11, 50]"
Mezel,16627,Valid,L6,1300.0,,45.76667,3.25,"[3, 45]"
Mezö-Madaras,16628,Valid,L3.7,22700.0,,46.5,25.73333,"[25, 46]"
Mhow,16629,Valid,L6,350.0,,25.9,83.61667,"[83, 25]"
Mianchi,16631,Valid,H5,1100.0,,34.8,111.7,"[111, 34]"
Middlesbrough,16632,Valid,L6,1600.0,,54.56667,-1.16667,"[-1, 54]"
Mifflin,52090,Valid,L5,3584.0,,42.9075,-90.36556,"[-90, 42]"
Mighei,16634,Valid,CM2,8000.0,,48.06667,30.96667,"[30, 48]"
Mihonoseki,16635,Valid,L6,6380.0,,35.56833,133.22,"[133, 35]"
Mike,16636,Valid,L6,224.2,,46.23333,17.53333,"[17, 46]"
Milena,16640,Valid,L6,10000.0,,46.18333,16.1,"[16, 46]"
Millbillillie,16643,Valid,Eucrite-mmict,330000.0,,-26.45,120.36667,"[120, -26]"
Miller (Arkansas),16645,Valid,H5,16700.0,,35.4,-92.05,"[-92, 35]"
Minamino,16692,Valid,L,1040.0,,35.07833,136.93333,"[136, 35]"
Mineo,16696,Valid,Pallasite,42.0,,37.28333,14.7,"[14, 37]"
Min-Fan-Zhun,16697,Valid,LL6,5500.0,,32.33333,120.66667,"[120, 32]"
Minnichhof,16700,Valid,OC,550.0,,47.7,16.6,"[16, 47]"
Mirzapur,16701,Valid,L5,8510.0,,25.68333,83.25,"[83, 25]"
Misshof,16703,Valid,H5,5800.0,,56.66667,23.0,"[23, 56]"
Mjelleim,16707,Valid,H,100.7,,61.73333,5.93333,"[5, 61]"
Mocs,16709,Valid,L5-6,300000.0,,46.8,24.03333,"[24, 46]"
Modoc (1905),16711,Valid,L6,35000.0,,38.5,-101.1,"[-101, 38]"
Mokoia,16713,Valid,CV3,4500.0,,-39.63333,174.4,"[174, -39]"
Molina,16715,Valid,H5,144000.0,,38.11667,-1.16667,"[-1, 38]"
Molteno,16717,Valid,Howardite,150.0,,-31.25,26.46667,"[26, -31]"
Monahans (1998),16719,Valid,H5,2587.0,,31.60833,-102.85833,"[-102, 31]"
Monroe,16720,Valid,H4,8600.0,,35.25,-80.5,"[-80, 35]"
Monte das Fortes,16725,Valid,L5,4885.0,,38.01667,-8.25,"[-8, 38]"
Monte Milone,16726,Valid,L5,3130.0,,43.26667,13.35,"[13, 43]"
Montferré,16727,Valid,H5,149000.0,,43.39056,1.9625,"[1, 43]"
Montlivault,16729,Valid,L6,500.0,,47.63333,1.58333,"[1, 47]"
Monze,16733,Valid,L6,,,-15.96667,27.35,"[27, -15]"
Moore County,16736,Valid,Eucrite-cm,1880.0,,35.41667,-79.38333,"[-79, 35]"
Mooresfort,16737,Valid,H5,3520.0,,52.45,-8.33333,"[-8, 52]"
Moorleah,16738,Valid,L6,8887.5,,-40.975,145.6,"[145, -40]"
Moradabad,16740,Valid,L6,70.0,,28.78333,78.83333,"[78, 28]"
Morávka,16742,Valid,H5,633.0,,49.6,18.53333,"[18, 49]"
Mornans,16747,Valid,H5,1300.0,,44.6,5.13333,"[5, 44]"
Moss,36592,Valid,CO3.6,3763.0,,59.43333,10.7,"[10, 59]"
Moti-ka-nagla,16759,Valid,H6,1500.0,,26.83333,77.33333,"[77, 26]"
Motta di Conti,16762,Valid,H4,9150.0,,45.2,8.5,"[8, 45]"
Mount Browne,16766,Valid,H6,11300.0,,-29.8,141.7,"[141, -29]"
Mount Tazerzait,16804,Valid,L5,110000.0,,18.7,4.8,"[4, 18]"
