Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Banten,4938,Valid,CM2,629.0,,-6.33333,106.0,"[106, -6]"
Barbotan,4942,Valid,H5,6400.0,,43.95,-0.05,"[0, 43]"
Barcelona (stone),4944,Valid,OC,,,41.36667,2.16667,"[2, 41]"
Barea,4946,Valid,Mesosiderite-A1,3200.0,,42.38333,-2.5,"[-2, 42]"
Barnaul,4947,Valid,H5,23.2,,52.73333,84.08333,"[84, 52]"
Barntrup,4948,Valid,LL4,17.0,,52.0,9.1,"[9, 52]"
Baroti,4949,Valid,L6,4500.0,,31.61667,76.8,"[76, 31]"
Barwell,4954,Valid,L5,44000.0,,52.56528,-1.33972,"[-1, 52]"
Bassikounou,44876,Valid,H5,29560.0,,15.78333,-5.9,"[-5, 15]"
Baszkówka,4957,Valid,L5,15500.0,,52.03333,20.93583,"[20, 52]"
Bath,4974,Valid,H4,21000.0,,45.41667,-98.31667,"[-98, 45]"
Bath Furnace,4975,Valid,L6,86000.0,,38.25,-83.75,"[-83, 38]"
Battle Mountain,56133,Valid,L6,2900.0,,40.66813,-117.18913,"[-117, 40]"
Bawku,4976,Valid,LL5,1557.0,,11.08333,-0.18333,"[0, 11]"
Baxter,4977,Valid,L6,611.0,,36.75,-93.5,"[-93, 36]"
Beardsley,4984,Valid,H5,16000.0,,39.8,-101.2,"[-101, 39]"
Beaver Creek,4986,Valid,H5,14000.0,,51.16667,-117.33333,"[-117, 51]"
Beddgelert,4993,Valid,H5,794.0,,53.01667,-4.1,"[-4, 53]"
Bells,5005,Valid,C2-ung,375.0,,33.6,-96.46667,"[-96, 33]"
Belville,5009,Valid,OC,,,-32.33333,-64.86667,"[-64, -32]"
Benares (a),5011,Valid,LL4,3700.0,,25.36667,82.91667,"[82, 25]"
Benguerir,30443,Valid,LL6,25000.0,,32.25,-8.15,"[-8, 32]"
Beni M'hira,5018,Valid,L6,19000.0,,32.86667,10.8,"[10, 32]"
Benld,5021,Valid,H6,1770.5,,39.08333,-89.15,"[-89, 39]"
Benoni,5023,Valid,H6,3880.0,,-26.16667,28.41667,"[28, -26]"
Bensour,5024,Valid,LL6,45000.0,,30.0,-7.0,"[-7, 30]"
Benton,5026,Valid,LL6,2840.0,,45.95,-67.55,"[-67, 45]"
Berduc,48975,Valid,L6,270.0,,-31.91,-58.32833,"[-58, -31]"
Béréba,5028,Valid,Eucrite-mmict,18000.0,,11.65,-3.65,"[-3, 11]"
Berlanguillas,5029,Valid,L6,1440.0,,41.68333,-3.8,"[-3, 41]"
Berthoud,47355,Valid,Eucrite-mmict,960.0,,40.30583,-105.02325,"[-105, 40]"
Bethlehem,5032,Valid,H,13.9,,42.53333,-73.83333,"[-73, 42]"
Beuste,5034,Valid,L5,2000.0,,43.21667,-0.23333,"[0, 43]"
Beyrout,5035,Valid,LL3.8,1100.0,,33.88333,35.5,"[35, 33]"
Bhagur,5037,Valid,L6,18.0,,20.88333,74.83333,"[74, 20]"
Bhawad,36591,Valid,LL6,678.0,,26.50833,73.11528,"[73, 26]"
Bherai,5039,Valid,L6,100.0,,20.83333,71.46667,"[71, 20]"
